# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000006865.1	Primary Assembly	chromosome		NC_002662.1	358	1725	+					dnaA		L_RS00005	1368		old_locus_tag=L0274
CDS	with_protein	GCF_000006865.1	Primary Assembly	chromosome		NC_002662.1	358	1725	+	WP_010905022.1	WP_010905022.1		chromosomal replication initiator protein DnaA	dnaA		L_RS00005	1368	455	
gene	protein_coding	GCF_000006865.1	Primary Assembly	chromosome		NC_002662.1	1882	3024	+					dnaN		L_RS00010	1143		old_locus_tag=L0275
CDS	with_protein	GCF_000006865.1	Primary Assembly	chromosome		NC_002662.1	1882	3024	+	WP_003130856.1	WP_003130856.1		DNA polymerase III subunit beta	dnaN		L_RS00010	1143	380	
gene	protein_coding	GCF_000006865.1	Primary Assembly	chromosome		NC_002662.1	3130	6429	+					rexB		L_RS00015	3300		old_locus_tag=L0252
CDS	with_protein	GCF_000006865.1	Primary Assembly	chromosome		NC_002662.1	3130	6429	+	WP_010905023.1	WP_010905023.1		ATP-dependent nuclease subunit B	rexB		L_RS00015	3300	1099	
gene	protein_coding	GCF_000006865.1	Primary Assembly	chromosome		NC_002662.1	6422	10033	+					addA		L_RS00020	3612		old_locus_tag=L0251
CDS	with_protein	GCF_000006865.1	Primary Assembly	chromosome		NC_002662.1	6422	10033	+	WP_010905024.1	WP_010905024.1		helicase-exonuclease AddAB subunit AddA	addA		L_RS00020	3612	1203	
gene	protein_coding	GCF_000006865.1	Primary Assembly	chromosome		NC_002662.1	10070	10270	+							L_RS00025	201		old_locus_tag=L200000
CDS	with_protein	GCF_000006865.1	Primary Assembly	chromosome		NC_002662.1	10070	10270	+	WP_003132155.1	WP_003132155.1		DUF951 domain-containing protein			L_RS00025	201	66	
gene	protein_coding	GCF_000006865.1	Primary Assembly	chromosome		NC_002662.1	10280	10837	-							L_RS00030	558		old_locus_tag=L10283
CDS	with_protein	GCF_000006865.1	Primary Assembly	chromosome		NC_002662.1	10280	10837	-	WP_010905025.1	WP_010905025.1		helix-turn-helix domain-containing protein			L_RS00030	558	185	
gene	protein_coding	GCF_000006865.1	Primary Assembly	chromosome		NC_002662.1	11119	12234	+					ychF		L_RS00035	1116		old_locus_tag=L0161
CDS	with_protein	GCF_000006865.1	Primary Assembly	chromosome		NC_002662.1	11119	12234	+	WP_010905026.1	WP_010905026.1		redox-regulated ATPase YchF	ychF		L_RS00035	1116	371	
gene	protein_coding	GCF_000006865.1	Primary Assembly	chromosome		NC_002662.1	12346	12669	+							L_RS00040	324		old_locus_tag=L12334
CDS	with_protein	GCF_000006865.1	Primary Assembly	chromosome		NC_002662.1	12346	12669	+	WP_010905027.1	WP_010905027.1		helix-turn-helix domain-containing protein			L_RS00040	324	107	
gene	protein_coding	GCF_000006865.1	Primary Assembly	chromosome		NC_002662.1	12924	13268	+							L_RS00045	345		old_locus_tag=L12912
CDS	with_protein	GCF_000006865.1	Primary Assembly	chromosome		NC_002662.1	12924	13268	+	WP_010905028.1	WP_010905028.1		hypothetical protein			L_RS00045	345	114	
gene	protein_coding	GCF_000006865.1	Primary Assembly	chromosome		NC_002662.1	13281	15272	+							L_RS00050	1992		old_locus_tag=L13272
CDS	with_protein	GCF_000006865.1	Primary Assembly	chromosome		NC_002662.1	13281	15272	+	WP_010905029.1	WP_010905029.1		DUF1430 domain-containing protein			L_RS00050	1992	663	
gene	protein_coding	GCF_000006865.1	Primary Assembly	chromosome		NC_002662.1	15274	15909	+							L_RS00055	636		old_locus_tag=L15262
CDS	with_protein	GCF_000006865.1	Primary Assembly	chromosome		NC_002662.1	15274	15909	+	WP_010905030.1	WP_010905030.1		ABC transporter ATP-binding protein			L_RS00055	636	211	
gene	protein_coding	GCF_000006865.1	Primary Assembly	chromosome		NC_002662.1	16110	16580	+							L_RS00060	471		old_locus_tag=L16101
CDS	with_protein	GCF_000006865.1	Primary Assembly	chromosome		NC_002662.1	16110	16580	+	WP_010905031.1	WP_010905031.1		AAA family ATPase			L_RS00060	471	156	
gene	protein_coding	GCF_000006865.1	Primary Assembly	chromosome		NC_002662.1	16598	17164	+					pth		L_RS00065	567		old_locus_tag=L0365
CDS	with_protein	GCF_000006865.1	Primary Assembly	chromosome		NC_002662.1	16598	17164	+	WP_010905032.1	WP_010905032.1		aminoacyl-tRNA hydrolase	pth		L_RS00065	567	188	
gene	protein_coding	GCF_000006865.1	Primary Assembly	chromosome		NC_002662.1	17165	20650	+					mfd		L_RS00070	3486		old_locus_tag=L0263
CDS	with_protein	GCF_000006865.1	Primary Assembly	chromosome		NC_002662.1	17165	20650	+	WP_010905033.1	WP_010905033.1		transcription-repair coupling factor	mfd		L_RS00070	3486	1161	
gene	protein_coding	GCF_000006865.1	Primary Assembly	chromosome		NC_002662.1	20810	21280	+							L_RS00075	471		old_locus_tag=L20795
CDS	with_protein	GCF_000006865.1	Primary Assembly	chromosome		NC_002662.1	20810	21280	+	WP_003132169.1	WP_003132169.1		hypothetical protein			L_RS00075	471	156	
gene	protein_coding	GCF_000006865.1	Primary Assembly	chromosome		NC_002662.1	21399	21668	+							L_RS00080	270		old_locus_tag=L1001
CDS	with_protein	GCF_000006865.1	Primary Assembly	chromosome		NC_002662.1	21399	21668	+	WP_003132170.1	WP_003132170.1		RNA-binding S4 domain-containing protein			L_RS00080	270	89	
gene	protein_coding	GCF_000006865.1	Primary Assembly	chromosome		NC_002662.1	21697	22071	+							L_RS00085	375		old_locus_tag=L21634
CDS	with_protein	GCF_000006865.1	Primary Assembly	chromosome		NC_002662.1	21697	22071	+	WP_010905035.1	WP_010905035.1		septum formation initiator family protein			L_RS00085	375	124	
gene	protein_coding	GCF_000006865.1	Primary Assembly	chromosome		NC_002662.1	22071	22394	+							L_RS00090	324		old_locus_tag=L22059
CDS	with_protein	GCF_000006865.1	Primary Assembly	chromosome		NC_002662.1	22071	22394	+	WP_003132172.1	WP_003132172.1		hypothetical protein			L_RS00090	324	107	
gene	protein_coding	GCF_000006865.1	Primary Assembly	chromosome		NC_002662.1	22532	23881	+							L_RS00095	1350		old_locus_tag=L22496
CDS	with_protein	GCF_000006865.1	Primary Assembly	chromosome		NC_002662.1	22532	23881	+	WP_010905036.1	WP_010905036.1		serine hydrolase			L_RS00095	1350	449	
gene	protein_coding	GCF_000006865.1	Primary Assembly	chromosome		NC_002662.1	23878	25149	+					tilS		L_RS00100	1272		old_locus_tag=L1002
CDS	with_protein	GCF_000006865.1	Primary Assembly	chromosome		NC_002662.1	23878	25149	+	WP_010905037.1	WP_010905037.1		tRNA lysidine(34) synthetase TilS	tilS		L_RS00100	1272	423	
