# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	1	1362	+					dnaA		LXA46_RS00005	1362		old_locus_tag=LXA46_00005
CDS	with_protein	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	1	1362	+	WP_000660618.1	WP_000660618.1		chromosomal replication initiator protein DnaA	dnaA		LXA46_RS00005	1362	453	
gene	protein_coding	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	1521	2657	+					dnaN		LXA46_RS00010	1137		old_locus_tag=LXA46_00010
CDS	with_protein	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	1521	2657	+	WP_000581157.1	WP_000581157.1		DNA polymerase III subunit beta	dnaN		LXA46_RS00010	1137	378	
gene	protein_coding	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	2722	2916	+							LXA46_RS00015	195		old_locus_tag=LXA46_00015
CDS	with_protein	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	2722	2916	+	WP_000285194.1	WP_000285194.1		DUF951 family protein			LXA46_RS00015	195	64	
gene	protein_coding	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	3000	4115	+					ychF		LXA46_RS00020	1116		old_locus_tag=LXA46_00020
CDS	with_protein	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	3000	4115	+	WP_001218714.1	WP_001218714.1		redox-regulated ATPase YchF	ychF		LXA46_RS00020	1116	371	
gene	protein_coding	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	4186	4755	+					pth		LXA46_RS00025	570		old_locus_tag=LXA46_00025
CDS	with_protein	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	4186	4755	+	WP_000163932.1	WP_000163932.1		aminoacyl-tRNA hydrolase	pth		LXA46_RS00025	570	189	
gene	protein_coding	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	4756	8265	+					mfd		LXA46_RS00030	3510		old_locus_tag=LXA46_00030
CDS	with_protein	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	4756	8265	+	WP_000258094.1	WP_000258094.1		transcription-repair coupling factor	mfd		LXA46_RS00030	3510	1169	
gene	protein_coding	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	8323	8589	+							LXA46_RS00035	267		old_locus_tag=LXA46_00035
CDS	with_protein	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	8323	8589	+	WP_001234978.1	WP_001234978.1		RNA-binding S4 domain-containing protein			LXA46_RS00035	267	88	
gene	protein_coding	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	8582	8950	+							LXA46_RS00040	369		old_locus_tag=LXA46_00040
CDS	with_protein	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	8582	8950	+	WP_000041909.1	WP_000041909.1		septum formation initiator family protein			LXA46_RS00040	369	122	
gene	protein_coding	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	8955	9077	+							LXA46_RS00045	123		
CDS	with_protein	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	8955	9077	+	WP_000429334.1	WP_000429334.1		SP_0009 family protein			LXA46_RS00045	123	40	
gene	protein_coding	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	9070	10338	+							LXA46_RS00050	1269		old_locus_tag=LXA46_00045
CDS	with_protein	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	9070	10338	+	WP_001224760.1	WP_001224760.1		serine hydrolase			LXA46_RS00050	1269	422	
gene	protein_coding	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	10335	11612	+					tilS		LXA46_RS00055	1278		old_locus_tag=LXA46_00050
CDS	with_protein	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	10335	11612	+	WP_001208979.1	WP_001208979.1		tRNA lysidine(34) synthetase TilS	tilS		LXA46_RS00055	1278	425	
gene	protein_coding	GCF_024089335.1	Primary Assembly	chromosome		NZ_CP089948.1	11616	12158	+					hpt		LXA46_RS00060	543		old_locus_tag=LXA46_00055
