# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	962	1627	+							BG262_RS00005	666		old_locus_tag=BG262_00005
CDS	with_protein	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	962	1627	+	WP_070786852.1	WP_070786852.1		LysM domain-containing protein			BG262_RS00005	666	221	
gene	protein_coding	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	1833	3371	+							BG262_RS00010	1539		old_locus_tag=BG262_00010
CDS	with_protein	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	1833	3371	+	WP_070786853.1	WP_070786853.1		ABC transporter permease/substrate-binding protein			BG262_RS00010	1539	512	
gene	protein_coding	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	3368	4318	+							BG262_RS00015	951		old_locus_tag=BG262_00015
CDS	with_protein	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	3368	4318	+	WP_070786854.1	WP_070786854.1		ABC transporter ATP-binding protein			BG262_RS00015	951	316	
gene	protein_coding	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	4487	5209	-							BG262_RS00020	723		old_locus_tag=BG262_00020
CDS	with_protein	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	4487	5209	-	WP_083312835.1	WP_083312835.1		AAA family ATPase			BG262_RS00020	723	240	
gene	protein_coding	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	5246	6376	-							BG262_RS00025	1131		old_locus_tag=BG262_00025
CDS	with_protein	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	5246	6376	-	WP_070786856.1	WP_070786856.1		ABC transporter permease subunit			BG262_RS00025	1131	376	
gene	protein_coding	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	6379	7245	-							BG262_RS00030	867		old_locus_tag=BG262_00030
CDS	with_protein	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	6379	7245	-	WP_070786857.1	WP_070786857.1		ABC transporter ATP-binding protein			BG262_RS00030	867	288	
gene	protein_coding	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	7229	8893	-							BG262_RS00035	1665		old_locus_tag=BG262_00035
CDS	with_protein	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	7229	8893	-	WP_158006623.1	WP_158006623.1		hypothetical protein			BG262_RS00035	1665	554	
gene	protein_coding	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	8954	9982	-							BG262_RS00040	1029		old_locus_tag=BG262_00040
CDS	with_protein	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	8954	9982	-	WP_070786859.1	WP_070786859.1		acyltransferase family protein			BG262_RS00040	1029	342	
gene	protein_coding	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	10203	10988	+							BG262_RS00045	786		old_locus_tag=BG262_00045
CDS	with_protein	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	10203	10988	+	WP_070786860.1	WP_070786860.1		helix-turn-helix transcriptional regulator			BG262_RS00045	786	261	
gene	protein_coding	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	11043	11831	+							BG262_RS00050	789		old_locus_tag=BG262_00050
CDS	with_protein	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	11043	11831	+	WP_070786861.1	WP_070786861.1		helix-turn-helix transcriptional regulator			BG262_RS00050	789	262	
gene	protein_coding	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	11845	13464	-							BG262_RS00055	1620		old_locus_tag=BG262_00055
CDS	with_protein	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	11845	13464	-	WP_070786862.1	WP_070786862.1		ABC transporter ATP-binding protein			BG262_RS00055	1620	539	
gene	tRNA	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	13685	13758	-							BG262_RS00060	74		old_locus_tag=BG262_00060
tRNA		GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	13685	13758	-				tRNA-Ile			BG262_RS00060	74		anticodon=GAT
gene	tRNA	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	13806	13876	-							BG262_RS00065	71		old_locus_tag=BG262_00065
tRNA		GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	13806	13876	-				tRNA-Gly			BG262_RS00065	71		anticodon=TCC
gene	tRNA	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	13890	13962	-							BG262_RS00070	73		old_locus_tag=BG262_00070
tRNA		GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	13890	13962	-				tRNA-Phe			BG262_RS00070	73		anticodon=GAA
gene	tRNA	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	14103	14176	-							BG262_RS00075	74		old_locus_tag=BG262_00075
tRNA		GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	14103	14176	-				tRNA-Met			BG262_RS00075	74		anticodon=CAT
gene	tRNA	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	14186	14275	-							BG262_RS00080	90		old_locus_tag=BG262_00080
tRNA		GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	14186	14275	-				tRNA-Ser			BG262_RS00080	90		anticodon=TGA
gene	tRNA	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	14281	14352	-							BG262_RS00085	72		old_locus_tag=BG262_00085
tRNA		GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	14281	14352	-				tRNA-Glu			BG262_RS00085	72		anticodon=TTC
gene	tRNA	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	14379	14452	-							BG262_RS00090	74		old_locus_tag=BG262_00090
tRNA		GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	14379	14452	-				tRNA-Asn			BG262_RS00090	74		anticodon=GTT
gene	rRNA	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	14458	14573	-					rrf		BG262_RS00095	116		old_locus_tag=BG262_00095
rRNA		GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	14458	14573	-				5S ribosomal RNA	rrf		BG262_RS00095	116		
gene	tRNA	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	14578	14651	-							BG262_RS00100	74		old_locus_tag=BG262_00100
tRNA		GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	14578	14651	-				tRNA-Ile			BG262_RS00100	74		anticodon=GAT
gene	tRNA	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	14697	14767	-							BG262_RS00105	71		old_locus_tag=BG262_00105
tRNA		GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	14697	14767	-				tRNA-Gly			BG262_RS00105	71		anticodon=TCC
gene	tRNA	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	14780	14852	-							BG262_RS00110	73		old_locus_tag=BG262_00110
tRNA		GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	14780	14852	-				tRNA-Phe			BG262_RS00110	73		anticodon=GAA
gene	tRNA	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	14887	14960	-							BG262_RS00115	74		old_locus_tag=BG262_00115
tRNA		GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	14887	14960	-				tRNA-Met			BG262_RS00115	74		anticodon=CAT
gene	tRNA	GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	14970	15059	-							BG262_RS00120	90		old_locus_tag=BG262_00120
tRNA		GCF_001832885.1	Primary Assembly	unplaced scaffold		NZ_MKIQ01000001.1	14970	15059	-				tRNA-Ser			BG262_RS00120	90		anticodon=TGA
