# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000006785.2	Primary Assembly	chromosome		NC_002737.2	232	1587	+					dnaA		SPY_RS00005	1356		old_locus_tag=SPy0002,SPy_0002
CDS	with_protein	GCF_000006785.2	Primary Assembly	chromosome		NC_002737.2	232	1587	+	WP_002987659.1	WP_002987659.1		chromosomal replication initiator protein DnaA	dnaA		SPY_RS00005	1356	451	
gene	protein_coding	GCF_000006785.2	Primary Assembly	chromosome		NC_002737.2	1742	2878	+					dnaN		SPY_RS00010	1137		old_locus_tag=SPy0003,SPy_0003
CDS	with_protein	GCF_000006785.2	Primary Assembly	chromosome		NC_002737.2	1742	2878	+	WP_010921762.1	WP_010921762.1		DNA polymerase III subunit beta	dnaN		SPY_RS00010	1137	378	
gene	protein_coding	GCF_000006785.2	Primary Assembly	chromosome		NC_002737.2	2953	3150	+							SPY_RS00015	198		old_locus_tag=SPy0004,SPy_0004
CDS	with_protein	GCF_000006785.2	Primary Assembly	chromosome		NC_002737.2	2953	3150	+	WP_002981933.1	WP_002981933.1		DUF951 family protein			SPY_RS00015	198	65	
gene	protein_coding	GCF_000006785.2	Primary Assembly	chromosome		NC_002737.2	3480	4595	+					ychF		SPY_RS00020	1116		old_locus_tag=SPy0006,SPy_0006
CDS	with_protein	GCF_000006785.2	Primary Assembly	chromosome		NC_002737.2	3480	4595	+	WP_010921763.1	WP_010921763.1		redox-regulated ATPase YchF	ychF		SPY_RS00020	1116	371	
gene	protein_coding	GCF_000006785.2	Primary Assembly	chromosome		NC_002737.2	4665	5234	+					pth		SPY_RS00025	570		old_locus_tag=SPy0007,SPy_0007
CDS	with_protein	GCF_000006785.2	Primary Assembly	chromosome		NC_002737.2	4665	5234	+	WP_002981924.1	WP_002981924.1		aminoacyl-tRNA hydrolase	pth		SPY_RS00025	570	189	
gene	protein_coding	GCF_000006785.2	Primary Assembly	chromosome		NC_002737.2	5237	8740	+					mfd		SPY_RS00030	3504		old_locus_tag=SPy0008,SPy_0008
CDS	with_protein	GCF_000006785.2	Primary Assembly	chromosome		NC_002737.2	5237	8740	+	WP_010921764.1	WP_010921764.1		transcription-repair coupling factor	mfd		SPY_RS00030	3504	1167	
gene	protein_coding	GCF_000006785.2	Primary Assembly	chromosome		NC_002737.2	8902	9174	+							SPY_RS00035	273		old_locus_tag=SPy0009,SPy_0009
CDS	with_protein	GCF_000006785.2	Primary Assembly	chromosome		NC_002737.2	8902	9174	+	WP_002987671.1	WP_002987671.1		RNA-binding S4 domain-containing protein			SPY_RS00035	273	90	
gene	protein_coding	GCF_000006785.2	Primary Assembly	chromosome		NC_002737.2	9161	9532	+							SPY_RS00040	372		old_locus_tag=SPy0010,SPy_0010
CDS	with_protein	GCF_000006785.2	Primary Assembly	chromosome		NC_002737.2	9161	9532	+	WP_010921765.1	WP_010921765.1		septum formation initiator family protein			SPY_RS00040	372	123	
gene	protein_coding	GCF_000006785.2	Primary Assembly	chromosome		NC_002737.2	9529	9654	+							SPY_RS09465	126		
CDS	with_protein	GCF_000006785.2	Primary Assembly	chromosome		NC_002737.2	9529	9654	+	WP_002987677.1	WP_002987677.1		SP_0009 family protein			SPY_RS09465	126	41	
gene	protein_coding	GCF_000006785.2	Primary Assembly	chromosome		NC_002737.2	9667	10953	+							SPY_RS00045	1287		old_locus_tag=SPy0012,SPy_0012
CDS	with_protein	GCF_000006785.2	Primary Assembly	chromosome		NC_002737.2	9667	10953	+	WP_010921766.1	WP_010921766.1		serine hydrolase			SPY_RS00045	1287	428	
gene	protein_coding	GCF_000006785.2	Primary Assembly	chromosome		NC_002737.2	10950	12236	+					tilS		SPY_RS00050	1287		old_locus_tag=SPy0013,SPy_0013
CDS	with_protein	GCF_000006785.2	Primary Assembly	chromosome		NC_002737.2	10950	12236	+	WP_010921767.1	WP_010921767.1		tRNA lysidine(34) synthetase TilS	tilS		SPY_RS00050	1287	428	
gene	protein_coding	GCF_000006785.2	Primary Assembly	chromosome		NC_002737.2	12241	12783	+					hpt		SPY_RS00055	543		
CDS	with_protein	GCF_000006785.2	Primary Assembly	chromosome		NC_002737.2	12241	12783	+	WP_002981912.1	WP_002981912.1		hypoxanthine phosphoribosyltransferase	hpt		SPY_RS00055	543	180	
gene	protein_coding	GCF_000006785.2	Primary Assembly	chromosome		NC_002737.2	12805	14784	+					ftsH		SPY_RS00060	1980		old_locus_tag=SPy0015,SPy_0015
CDS	with_protein	GCF_000006785.2	Primary Assembly	chromosome		NC_002737.2	12805	14784	+	WP_010921768.1	WP_010921768.1		ATP-dependent zinc metalloprotease FtsH	ftsH		SPY_RS00060	1980	659	
gene	protein_coding	GCF_000006785.2	Primary Assembly	chromosome		NC_002737.2	15109	16500	+							SPY_RS00065	1392		old_locus_tag=SPy0016,SPy_0016
CDS	with_protein	GCF_000006785.2	Primary Assembly	chromosome		NC_002737.2	15109	16500	+	WP_002987685.1	WP_002987685.1		amino acid permease			SPY_RS00065	1392	463	
